category,key,weight,norm_weight,text,type
POS_BIGRAM,ADJ + NOUN,0.0,0.0,< s,retrieval
POS_BIGRAM,NOUN + ADJ,0.0,0.0,s >,retrieval
POS_BIGRAM,ADJ + NOUN,56.51301622390747,0.5407593691480701,> ▁query,retrieval
POS_BIGRAM,NOUN + OTHER,59.82243347167969,0.5724263815061181,▁query :,retrieval
POS_BIGRAM,OTHER + NOUN,968.8789324760437,9.270967917032813,: ▁What▁is▁throat▁cancer,retrieval
POS_BIGRAM,NOUN + OTHER,985.245288848877,9.42757361849388,▁What▁is▁throat▁cancer ?,retrieval
POS_BIGRAM,OTHER + ADJ,19.67577362060547,0.1882727138191171,? <,retrieval
POS_BIGRAM,ADJ + NOUN,0.0,0.0,< /s,retrieval
POS_BIGRAM,NOUN + NOUN,0.0,0.0,/s >,retrieval
POS_TRIGRAM,ADJ + NOUN + ADJ,0.0,0.0,< s >,retrieval
POS_TRIGRAM,NOUN + ADJ + NOUN,56.51301622390747,0.5407593691480701,s > ▁query,retrieval
POS_TRIGRAM,ADJ + NOUN + OTHER,59.82243347167969,0.5724263815061181,> ▁query :,retrieval
POS_TRIGRAM,NOUN + OTHER + NOUN,1025.3919486999512,9.811727286180883,▁query : ▁What▁is▁throat▁cancer,retrieval
POS_TRIGRAM,OTHER + NOUN + OTHER,988.5547060966492,9.45924063085193,: ▁What▁is▁throat▁cancer ?,retrieval
POS_TRIGRAM,NOUN + OTHER + ADJ,985.245288848877,9.42757361849388,▁What▁is▁throat▁cancer ? <,retrieval
POS_TRIGRAM,OTHER + ADJ + NOUN,19.67577362060547,0.1882727138191171,? < /s,retrieval
POS_TRIGRAM,ADJ + NOUN + NOUN,0.0,0.0,< /s >,retrieval
FUNCTIONAL_ROLE,SUBJECT,0.0,0.0,s,retrieval
FUNCTIONAL_ROLE,SUBJECT,56.51301622390747,0.5407593691480701,▁query,retrieval
FUNCTIONAL_ROLE,SUBJECT,965.5695152282715,9.239300904674765,▁What▁is▁throat▁cancer,retrieval
FUNCTIONAL_ROLE,SUBJECT,0.0,0.0,/s,retrieval
FUNCTIONAL_ROLE,SUBJECT,0.0,0.0,>,retrieval
POS_BIGRAM,ADJ + NOUN,0.0,0.0,< s,retrieval
POS_BIGRAM,NOUN + ADJ,0.0,0.0,s >,retrieval
POS_BIGRAM,ADJ + NOUN,58.7836856842041,0.6166170811027686,> ▁query,retrieval
POS_BIGRAM,NOUN + OTHER,87.00021553039551,0.9125970638156077,▁query :,retrieval
POS_BIGRAM,OTHER + ADJ,822.9236335754395,8.632135991468193,: ▁Is▁throat▁cancer▁treatable,retrieval
POS_BIGRAM,ADJ + OTHER,866.3253974914551,9.087402936184393,▁Is▁throat▁cancer▁treatable ?,retrieval
POS_BIGRAM,OTHER + ADJ,71.61829376220703,0.751246927429039,? <,retrieval
POS_BIGRAM,ADJ + NOUN,0.0,0.0,< /s,retrieval
POS_BIGRAM,NOUN + NOUN,0.0,0.0,/s >,retrieval
