,qid,docno,rank,score,id,text
0,31_1,MARCO_3878347,1,0.7603296041488647,MARCO_3878347,What is throat cancer Throat cancer is any cancer that forms in the throat The throat also called the pharynx is a 5inchlong tube that runs from your nose to your neck The larynx voice box and pharynx are the two main places throat cancer forms Throat cancer is a type of head and neck cancer which includes cancer of the mouth tonsils nose sinuses salivary glands and neck lymph nodes
1,31_1,MARCO_789620,2,0.7521790266036987,MARCO_789620,What is throat cancer Throat cancer is any cancer that forms in the throat The throat also called the pharynx is a 5inchlong tube that runs from your nose to your neck The larynx voice box and pharynx are the two main places throat cancer forms Throat cancer is a type of head and neck cancer which includes cancer of the mouth tonsils nose sinuses salivary glands and neck lymph nodes Learn about the types of throat cancer
2,31_1,MARCO_2715451,3,0.7420363426208496,MARCO_2715451,Throat cancer also known as laryngeal cancer is the uncontrolled growth of abnormal cells in the larynx leading to the formation of a tumour Most throat cancers start in the area of the larynx where the vocal cords are located
3,31_1,MARCO_2954451,4,0.7014727592468262,MARCO_2954451,Throat cancer is a general term that usually refers to cancer of the pharynx andor larynx Regions included when considering throat cancer include the nasopharynx oropharynx hypopharynx glottis supraglottis and subglottis about half of throat cancers develop in the larynx and the other half in the pharynx
4,31_1,MARCO_3705888,5,0.693622350692749,MARCO_3705888,Types of throat cancer Throat cancer is a general term that applies to cancer that develops in the throat pharyngeal cancer or in the voice box laryngeal cancer The throat and the voice box are closely connected with the voice box located just below the throat
5,31_1,MARCO_291004,6,0.6869055032730103,MARCO_291004,Types of Cancer Throat Cancer Throat cancer refers to cancerous tumors that develop in your throat pharynx or voice box larynx Throat cancer includes cancer of the nasopharynx the upper part of the throat behind the nose the oropharynx the middle part of the pharynx and the hypopharynx the bottom part of the pharynx Cancer of the larynx voice box may also be included as a type of throat cancer and is also called pharyngeal cancer
6,31_1,MARCO_291003,7,0.682634174823761,MARCO_291003,Throat cancer is a type of head and neck cancer Throat cancer has different names depending on what part of the throat is affected The different parts of the throat are called the oropharynx the hypopharynx and the nasopharynx Sometimes the larynx or voice box is also included The main risk factors for throat cancer are smoking or using smokeless tobacco and use of alcohol Treatments include surgery radiation therapy and chemotherapy
7,31_1,MARCO_1905587,8,0.6785531044006348,MARCO_1905587,Cancer is a class of diseases in which abnormal cells multiply and divide uncontrollably in the body These abnormal cells form malignant growths called tumors Throat cancer refers to cancer of the voice box the vocal cords and other parts of the throat such as the tonsils and oropharynx Throat cancer is often grouped into two categories pharyngeal cancer and laryngeal cancer Pharyngeal cancer forms in the pharynx This is the hollow tube that runs from behind your nose to the top of your windpipe Laryngeal cancer forms in the larynx which is your voice box
8,31_1,MARCO_7972824,9,0.6703438758850098,MARCO_7972824,Throat cancer refers to cancerous tumors that develop in your throat pharynx voice box larynx or tonsils Your throat is a muscular tube that begins behind your nose and ends in your neck Throat cancer most often begins in the flat cells that line the inside of your throat Your voice box sits just below your throat and is also susceptible to throat cancer The voice box is made of cartilage and contains the vocal cords that vibrate to make sound when you talk Throat cancer can also affect the piece of cartilage epiglottis that acts as a lid for your windpipe
9,31_1,MARCO_8046971,10,0.6687493920326233,MARCO_8046971,Throat cancer refers to cancer of the voice box the vocal cords and other parts of the throat such as the tonsils and oropharynx Throat cancer is often grouped into two categories pharyngeal cancer and laryngeal cancer Pharyngeal cancer forms in the pharynx This is the hollow tube that runs from behind your nose to the top of your windpipe Laryngeal cancer forms in the larynx which is your voice box Throat cancer is relatively uncommon when compared to other cancers
10,31_2,MARCO_8046970,1,0.6900290250778198,MARCO_8046970,If diagnosed early throat cancer has a high cure rate Throat cancer may not be curable once malignant cells spread to parts of the body beyond the neck and head However those diagnosed can continue treatment to prolong their life and slow the progression of the disease
11,31_2,MARCO_3581481,2,0.6562038064002991,MARCO_3581481,Throat cancers may be cured when detected early If the cancer has spread metastasized to surrounding tissues or lymph nodes in the neck about half of patients can be cured If the cancer has spread to parts of the body outside the head and neck the cancer is not curable Treatment is aimed at prolonging and improving quality of life After treatment therapy is needed to help with speech and swallowing
12,31_2,MARCO_7672902,3,0.6452772617340088,MARCO_7672902,Surgery The most common treatment of early stage cancer of the throat is surgery which results in cure for over 80 of patients In some cases patients are unable to tolerate surgery or surgery results in significant functional defects including difficulty in talking or swallowing
13,31_2,MARCO_7364330,4,0.6427299976348877,MARCO_7364330,Heres what doctors often recommend based on cancer stage 1 Stage 0 throat cancers have not become invasive They usually can be treated by removing the affected tissue 2 Stage I or II throat cancers require surgery radiation therapy or both
